아메리카노,2021-10-01 00:00:00,스타벅스,355,1잔,X,10,5,0,0,0,1,스타벅스_아메리카노.jpg
디카페인 아메리카노,2021-10-01 00:00:00,스타벅스,473,1잔,X,15,10,0,0,0,1,스타벅스_디카페인 아메리카노.jpg
카페라떼,2021-10-01 00:00:00,스타벅스,355,1잔,우유,180,115,13,13,5,10,스타벅스_카페라떼.jpg
돌체라떼,2021-10-01 00:00:00,스타벅스,355,1잔,우유,255,190,39,39,2.6,12,스타벅스_돌체라떼.jpg
자몽허니블랙티,2021-10-01 00:00:00,스타벅스,355,1잔,X,125,5,30,30,0,0,스타벅스_자몽허니블랙티.jpg
에스프레소,2021-10-01 00:00:00,스타벅스,22,1잔,X,5,0,0,0,0,0,스타벅스_에스프레소.jpg
자바칩 프라푸치노,2021-10-01 00:00:00,스타벅스,355,1잔,대두/우유/밀,340,180,42,42,9,6,스타벅스_자바칩 프라푸치노.jpg
히비스커스 블렌드 티,2021-10-01 00:00:00,스타벅스,355,1잔,X,0,0,0,0,0,0,스타벅스_히비스커스 블렌드 티.jpg
저지방 카페라떼,2021-10-01 00:00:00,스타벅스,355,1잔,우유,150,0,14,0,0,10,스타벅스_저지방 카페라떼.jpg
아이스크림 블렌딩 콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,대두/우유,420,140,53,53,6,10,스타벅스_아이스크림 블렌딩 콜드 브루.jpg
나이트로 바닐라 크림,2021-10-01 00:00:00,스타벅스,355,1잔,우유,75,20,10,10,2,1,스타벅스_나이트로 바닐라 크림.jpg
나이트로 콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,X,5,5,0,0,0,0,스타벅스_나이트로 콜드 브루.jpg
돌체 콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,우유,265,115,29,29,9,8,스타벅스_돌체 콜드 브루.jpg
바닐라 크림 콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,우유,125,58,11,11,6,3,스타벅스_바닐라 크림 콜드 브루.jpg
벨벳 다크 모카 나이트로,2021-10-01 00:00:00,스타벅스,355,1잔,우유,150,15,17,17,6,2,스타벅스_벨벳 다크 모카 나이트로.jpg
제주 비자림 콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,X,340,115,44,44,8,10,스타벅스_제주 비자림 콜드 브루.jpg
콜드 브루,2021-10-01 00:00:00,스타벅스,355,1잔,X,5,11,0,0,0,0,스타벅스_콜드 브루.jpg
콜드 브루 몰트,2021-10-01 00:00:00,스타벅스,355,1잔,대두/우유,510,147.8,40,40,20,10,스타벅스_콜드 브루 몰트.jpg
콜드 브루 오트 라떼,2021-10-01 00:00:00,스타벅스,355,1잔,X,105,95,11,11,0.3,1,스타벅스_콜드 브루 오트 라떼.jpg
콜드 브루 플로트,2021-10-01 00:00:00,스타벅스,355,1잔,우유,230,69,18,18,10,3,스타벅스_콜드 브루 플로트.jpg
프렌치 애플 타르트 나이트로,2021-10-01 00:00:00,스타벅스,355,1잔,X,80,0,19,19,0,0,스타벅스_프렌치 애플 타르트 나이트로.jpg
아이스 커피,2021-10-01 00:00:00,스타벅스,355,1잔,X,5,0,0,0,0,0,스타벅스_아이스 커피.jpg
오늘의 커피,2021-10-01 00:00:00,스타벅스,355,1잔,X,5,10,0,0,0,0,스타벅스_오늘의 커피.jpg
루프탑 그레이 라떼,2021-10-01 00:00:00,스타벅스,709,1잔,대두/우유,415,140,30,30,20,9,스타벅스_루프탑 그레이 라떼.jpg
에스프레소 콘 파나,2021-10-01 00:00:00,스타벅스,22,1잔,우유,30,0,1,1,1.5,0,스타벅스_에스프레소 콘 파나.jpg
에스프레소 마키아또,2021-10-01 00:00:00,스타벅스,22,1잔,우유,10,0,0,0,0,1,스타벅스_에스프레소 마키아또.jpg
카라멜 마끼아또,2021-10-01 00:00:00,스타벅스,355,1잔,대두/우유,200,130,22,22,5,8,스타벅스_카라멜 마끼아또.jpg
카푸치노,2021-10-01 00:00:00,스타벅스,355,1잔,우유,110,70,8,8,3,6,스타벅스_카푸치노.jpg
라벤더 카페 브레베,2021-10-01 00:00:00,스타벅스,355,1잔,우유,400,140,30,30,22,8,스타벅스_라벤더 카페 브레베.jpg
럼 샷 코르타도,2021-10-01 00:00:00,스타벅스,237,1잔,우유,70,45,8,8,1.8,3,스타벅스_럼 샷 코르타도.jpg
바닐라 빈 라떼,2021-10-01 00:00:00,스타벅스,355,1잔,X,245,150,27,27,6,9,스타벅스_바닐라 빈 라떼.jpg
블론드 에스프레소 라떼,2021-10-01 00:00:00,스타벅스,355,1잔,우유,330,180,32,32,11,11,스타벅스_블론드 에스프레소 라떼.jpg
사케라또 비안코 오버 아이스,2021-10-01 00:00:00,스타벅스,355,1잔,X,270,45,14,14,18,3,스타벅스_사케라또 비안코 오버 아이스.jpg
제주 별다방 땅콩 라떼,2021-10-01 00:00:00,스타벅스,473,1잔,땅콩/대두/우유,595,240,61,61,14,15,스타벅스_제주 별다방 땅콩 라떼.jpg
카페 모카,2021-10-01 00:00:00,스타벅스,355,1잔,우유,290,105,25,25,9,10,스타벅스_카페 모카.jpg
화이트 초콜릿 모카,2021-10-01 00:00:00,스타벅스,355,1잔,우유,345,150,35,35,11,11,스타벅스_화이트 초콜릿 모카.jpg
