"운동명","운동설명","MET계수"
"에어로빅","에어로빅",6
"수상스키","수상스키",6
"야구피칭","야구피칭",6
"수영(자유영)","수영(자유영)",6.1
"자유수영","자유수영",6
"빠르게 걷기","빠르게 걷기",6
"모래주머니 차고 걷기","모래주머니 차고 걷기",6.8
"속보","속보",6
"권투펀칭","권투펀칭",6
"댄스(고강도)","댄스(고강도)",7
"등산","등산",7
"달리기","달리기",7
"고정식자전거타기(30~50 Watts)","고정식자전거타기(30~50 Watts)",3.5
"고정식자전거타기(90~100 Watts)","고정식자전거타기(90~100 Watts)",6.8
"고정식자전거타기(161~200 Watts)","고정식자전거타기(161~200 Watts)",11
"고정식자전거타기(약하게)","고정식자전거타기(약하게)",5.5
"자전거타기","자전거타기",7
"실내자전거타기(약하게)","실내자전거타기(약하게)",5.5
"축구연습","축구연습",7
"조깅","조깅",7
"런닝","런닝",7
"스피닝","스피닝",9
"서키트 트레이닝(격렬하게)","서키트 트레이닝(격렬하게)",8
"수영(배영)","수영(배영)",8
"배구시합","배구시합",8
"아이스하키","아이스하키",8
"농구시합","농구시합",8
"줄넘기(빠르게)","줄넘기(빠르게)",9
"축구시합","축구시합",10
"라켓볼 시합","라켓볼 시합",10
"하프마라톤","하프마라톤",9
"킥복싱","킥복싱",10
"암벽등반","암벽등반",11
"수영(접영)","수영(접영)",11
"산악자전거(격렬하게)","산악자전거(격렬하게)",14
"BMX 자전거타기","BMX 자전거타기",8.5
"캠프 단체훈련(예, 해병대 캠프 등)","캠프 단체훈련(예, 해병대 캠프 등)",5
"파워워킹","파워워킹",6
"모던댄스","모던댄스",4.8
"트래킹","트래킹",5
"뛰기","뛰기",7
"고정식자전거타기(보통으로)","고정식자전거타기(보통으로)",7
"고정식자전거타기(51~89 Watts)","고정식자전거타기(51~89 Watts)",4.8
"고정식자전거타기(101~160 Watts)","고정식자전거타기(101~160 Watts)",8.8
"고정식자전거타기(201~270 Watts)","고정식자전거타기(201~270 Watts)",14
"실내자전거타기","실내자전거타기",7
"라켓볼연습","라켓볼연습",7
"축구 프리킥 차기","축구 프리킥 차기",7
"비치발리볼","비치발리볼",8
"맨손 줄넘기","맨손 줄넘기",7
"줄넘기(천천히)","줄넘기(천천히)",8
"산악자전거(보통으로)","산악자전거(보통으로)",8.5
"프리스비 얼티메이트","프리스비 얼티메이트",8
"마라톤","마라톤",9
"태권도","태권도",10
"스쿼시","스쿼시",12
"산악자전거 시합","산악자전거 시합",16
"건강증진 비디오 게임 격렬하게(예, 위피트 등)","건강증진 비디오 게임 격렬하게(예, 위피트 등)",7.2
"커브스 30분 여성 순환운동","커브스 30분 여성 순환운동",3.5
"팔굽혀펴기(가볍게)","팔굽혀펴기(가볍게)",3
"팔굽혀펴기(보통으로)","팔굽혀펴기(보통으로)",5
"푸쉬업(보통으로)","푸쉬업(보통으로)",5
"니킥","니킥",5.5
"런지(격렬하게)","런지(격렬하게)",8
"사이드 런지","사이드 런지",5.5
"윗몸일으키기(보통으로)","윗몸일으키기(보통으로)",3.8
"복근운동(가볍게)","복근운동(가볍게)",2.8
"복근운동(격렬하게)","복근운동(격렬하게)",8
"크런치(보통으로)","크런치(보통으로)",5
"점프 스쿼트","점프 스쿼트",6
"코어운동","코어운동",4.5
"헬스(보통으로)","헬스(보통으로)",5.5
"근력운동(전신)","근력운동(전신)",5.5
"하체 근력운동","하체 근력운동",5
"웨이트운동(격렬하게) - 전신","웨이트운동(격렬하게) - 전신",6
"저항성운동(격렬하게) - 전신","저항성운동(격렬하게) - 전신",6
"저항성운동(보통으로) - 전신","저항성운동(보통으로) - 전신",5
"보디빌딩(보통으로)","보디빌딩(보통으로)",5
"바벨 숄더프레스","바벨 숄더프레스",5.5
"브릿지","브릿지",3.5
"리버스 컬","리버스 컬",5
"턱걸이(가볍게)","턱걸이(가볍게)",3
"턱걸이(격렬하게)","턱걸이(격렬하게)",8
"서키트 트레이닝(보통으로)","서키트 트레이닝(보통으로)",4.3
"트램폴린(레크레이션적인)","트램폴린(레크레이션적인)",3.5
"트램폴린(경쟁적인)","트램폴린(경쟁적인)",4.5
"타바타 운동","타바타 운동",8
"발레(일반적인)","발레(일반적인)",5
"발레(격렬하게)","발레(격렬하게)",6.8
"점핑하이(레크레이션적인)","점핑하이(레크레이션적인)",3.5
"점핑하이(경쟁적인)","점핑하이(경쟁적인)",4.5
"검도","검도",6
"펜싱","펜싱",6
"암워킹","암워킹",6
"런닝머신(걷기)","런닝머신(걷기)",4.5
"승마운동기구","승마운동기구",5
"시티드 로우","시티드 로우",5
"국선도","국선도",4.5
"원 암 덤벨로우","원 암 덤벨로우",5
"필라테스(기구)","필라테스(기구)",5
"슬로우버피(일반적인)","슬로우버피(일반적인)",5.5
"복근운동(보통으로)","복근운동(보통으로)",3.8
