감자깡,2021-10-01 00:00:00,농심,75,1봉지,밀/대두/우유/돼지고기/쇠고기함유,370,470,54,3.9,4.9,4.4,농심_감자깡.jpg
감튀 레드칠리맛,2021-10-01 00:00:00,농심,60,1봉지,밀/대두/토마토/우유/새우,320,350,36,3.6,6,3,농심_감튀 레드칠리맛.jpg
새우깡,2021-10-01 00:00:00,농심,90,1봉지,밀/새우/대두/우유함유,465,610,54,5,8,6,농심_새우깡.jpg
고구마깡,2021-10-01 00:00:00,농심,83,1봉지,밀함유,415,370,58,17,6,3.4,농심_고구마깡.jpg
꿀꽈배기,2021-10-01 00:00:00,농심,90,1봉지,밀/우유함유,450,230,63,21,7,2.8,농심_꿀꽈배기.jpg
바나나킥,2021-10-01 00:00:00,농심,75,1봉지,우유/계란함유,315,100,66,37,1.7,3,농심_바나나킥.jpg
알새우칩,2021-10-01 00:00:00,농심,68,1봉지,밀/계란/대두/우유/새우/쇠고기함유,345,510,46,8,6,1.4,농심_알새우칩.jpg
양파링,2021-10-01 00:00:00,농심,84,1봉지,밀/쇠고기/대두/우유/돼지고기/조개류,400,580,61,6,6,2.9,농심_양파링.jpg
오징어집,2021-10-01 00:00:00,농심,84,1봉지,밀/오징어/대두/우유/새우,455,410,49,5,8,6,농심_오징어집.jpg
인디안밥,2021-10-01 00:00:00,농심,83,1봉지,우유/대두,420,620,55,3.3,7,5,농심_인디안밥.jpg
자갈치,2021-10-01 00:00:00,농심,90,1봉지,새우/대두/우유/밀/쇠고기/게,470,440,58,6,8,5,농심_자갈치.jpg
조청유과,2021-10-01 00:00:00,농심,96,1봉지,밀,530,250,60,24,10,2.4,농심_조청유과.jpg
쫄병스낵,2021-10-01 00:00:00,농심,82,1봉지,밀/우유/대두/토마토/쇠고기,430,420,49,6,12,5,농심_쫄병스낵.jpg
포테토칩 오리지널,2021-10-01 00:00:00,농심,60,1봉지,대두,345,260,32,1.8,8,3,농심_포테토칩 오리지널.jpg
포테토칩 샤워크림 어니언,2021-10-01 00:00:00,농심,60,1봉지,우유/대두,345,280,32,3,8,2.6,농심_포테토칩 샤워크림 어니언.jpg
포테토칩 에그토스트맛,2021-10-01 00:00:00,농심,53,1봉지,밀/대두/우유/계란,305,230,29,4.2,6,2.5,농심_포테토칩 에그토스트맛.jpg
포테토칩 김치사발면맛,2021-10-01 00:00:00,농심,60,1봉지,우유/대두/밀/쇠고기/돼지고기/닭고기,350,350,31,2.5,8,2.8,농심_포테토칩 김치사발면맛.jpg
포스틱,2021-10-01 00:00:00,농심,84,1봉지,밀/대두/우유/쇠고기,395,530,63,3.5,4.9,4.1,농심_포스틱.jpg
닭다리 후라이드치킨맛,2021-10-01 00:00:00,농심,66,1곽,대두/밀/쇠고기/닭고기,335,310,42,3.9,5,4.1,농심_닭다리 후라이드치킨맛.jpg
닭다리 핫숯불바베큐,2021-10-01 00:00:00,농심,66,1곽,닭고기,345,460,42,4.6,5,4.3,농심_닭다리 핫숯불바베큐.jpg
양파깡,2021-10-01 00:00:00,농심,83,1봉지,밀/대두/토마토/우유/쇠고기,440,480,52,5,8,4,농심_양파깡.jpg
미니 짜파링,2021-10-01 00:00:00,농심,65,1봉지,우유/대두/밀/게/새우/돼지고기/쇠고기/조개류,320,490,45,6,4.7,3,농심_미니 짜파링.jpg
