다크 초콜릿 마카롱,2021-10-01 00:00:00,스타벅스,35,1개,X,162,16,18,16,3.2,3,스타벅스_다크 초콜릿 마카롱.jpg
앙녹차 베이글,2021-10-01 00:00:00,스타벅스,180,1개,X,510,740,30,30,10,12,스타벅스_앙녹차 베이글.jpg
피스타치오 마카롱,2021-10-01 00:00:00,스타벅스,30,1개,X,127,12,19,13,1.2,3,스타벅스_피스타치오 마카롱.jpg
스트로베리 마카롱,2021-10-01 00:00:00,스타벅스,30,1개,X,137,11,16,14,1.6,3,스타벅스_스트로베리 마카롱.jpg
바닐라 마카롱,2021-10-01 00:00:00,스타벅스,30,1개,X,141,12,16,14,1.8,3,스타벅스_바닐라 마카롱.jpg
단호박 에그 샌드위치,2021-10-01 00:00:00,스타벅스,190,1인분,X,334,698,41,7,4.3,11,스타벅스_단호박 에그 샌드위치.jpg
햄 & 루꼴라 올리브 샌드위치,2021-10-01 00:00:00,스타벅스,190,1인분,X,388,658,42,3,5,19,스타벅스_햄 & 루꼴라 올리브 샌드위치.jpg
햄치즈 루꼴라 샌드위치,2021-10-01 00:00:00,스타벅스,170,1개,X,333,661,32,2,4.8,21,스타벅스_햄치즈 루꼴라 샌드위치.JPG
크랜베리 치킨 치즈 샌드위치,2021-10-01 00:00:00,스타벅스,194,1인분,X,416,774,40,11,4.5,19,스타벅스_크랜베리 치킨 치즈 샌드위치.jpg
화이트 에그 모짜 샌드위치,2021-10-01 00:00:00,스타벅스,170,1인분,X,380,930,44,2,8,15,스타벅스_화이트 에그 모짜 샌드위치.JPG
베이컨 & 브로콜리 샌드위치,2021-10-01 00:00:00,스타벅스,180,1인분,X,410,790,28,7,9,13,스타벅스_베이컨 & 브로콜리 샌드위치.jpg
에그 & 포테이토 샌드위치,2021-10-01 00:00:00,스타벅스,210,1인분,X,460,970,42,13,8,12,스타벅스_에그 & 포테이토 샌드위치.jpg
리코타 치즈 바게트 샌드위치,2021-10-01 00:00:00,스타벅스,170,1인분,X,385,900,40,12,14,14,스타벅스_리코타 치즈 바게트 샌드위치.jpg
튜나 멜트 샌드위치,2021-10-01 00:00:00,스타벅스,190,1인분,X,575,995,26,8,19,19,스타벅스_튜나 멜트 샌드위치.jpg
BELT 샌드위치,2021-10-01 00:00:00,스타벅스,235,1패키지,X,450,924,44,7,7,19,스타벅스_BELT 샌드위치.jpg
포크 커틀릿 샌드위치,2021-10-01 00:00:00,스타벅스,206,1인분,X,556,941,54,5.77,6.55,26,스타벅스_포크 커틀릿 샌드위치.jpg
에그에그 샌드위치,2021-10-01 00:00:00,스타벅스,175,2조각,X,370,800,28,9,8,15,스타벅스_에그에그 샌드위치.jpg
바비큐 치킨 치즈 치아바타,2021-10-01 00:00:00,스타벅스,169,1인분,X,343,26,45,9,3.9,22,스타벅스_바비큐 치킨 치즈 치아바타.jpg
스윗 칠리 올리브 치아바타,2021-10-01 00:00:00,스타벅스,250,1인분,X,493,931,67,13,2.2,18,스타벅스_스윗 칠리 올리브 치아바타.jpg
베이컨 치즈 토스트,2021-10-01 00:00:00,스타벅스,110,1인분,X,606,551,24,7,8,14,스타벅스_베이컨 치즈 토스트.jpg
이탈리안 파니니,2021-10-01 00:00:00,스타벅스,134,1개,X,401,734,47,0,0,17,스타벅스_이탈리안 파니니.jpg
어니언 베이컨 체다치즈 파니니,2021-10-01 00:00:00,스타벅스,175,1인분,X,508,701,32,5,13,14,스타벅스_어니언 베이컨 체다치즈 파니니.jpg
